customer_id,activation_date,subscription_type,status,region,rate_plan_id
212714656152,2024-11-20,postpaid,active,Marrakech-Safi,Starter
212649259764,2023-11-02,postpaid,active,Béni Mellal-Khénifra,Premium
212608319372,2023-12-24,postpaid,active,Dakhla-Oued Ed-Dahab,Starter
212714331445,2024-06-30,postpaid,active,Oriental,Starter
212721886056,2025-04-09,postpaid,active,Drâa-Tafilalet,Infinity
212622414975,2024-11-03,postpaid,active,Guelmim-Oued Noun,Starter
212793821632,2023-07-26,postpaid,active,Rabat-Salé-Kénitra,Premium
212643396506,2024-06-05,postpaid,active,Drâa-Tafilalet,Starter
212705347269,2023-11-02,postpaid,active,Rabat-Salé-Kénitra,Premium
212610142207,2024-10-13,postpaid,active,Souss-Massa,Premium
212676792105,2024-09-03,postpaid,active,Dakhla-Oued Ed-Dahab,Starter
212700677253,2024-03-05,postpaid,active,Tanger-Tétouan-Al Hoceïma,Premium
212756252590,2023-10-15,postpaid,active,Guelmim-Oued Noun,Starter
212672782895,2024-08-11,postpaid,active,Souss-Massa,Premium
212670632726,2024-08-21,postpaid,active,Souss-Massa,Starter
212721276815,2024-08-15,postpaid,active,Fès-Meknès,Premium
212735577467,2024-09-10,postpaid,active,Marrakech-Safi,Starter
212784667654,2024-03-26,postpaid,active,Béni Mellal-Khénifra,Starter
212756646585,2023-10-03,postpaid,active,Marrakech-Safi,Premium
212705926316,2024-02-14,postpaid,active,Drâa-Tafilalet,Infinity
212664624148,2025-06-04,postpaid,active,Marrakech-Safi,Starter
212785566641,2024-06-29,postpaid,active,Rabat-Salé-Kénitra,Starter
212706567569,2024-12-22,postpaid,active,Béni Mellal-Khénifra,Starter
212663808400,2024-09-11,postpaid,active,Rabat-Salé-Kénitra,Starter
212778250581,2025-03-16,postpaid,active,Oriental,Infinity
212628173164,2025-05-22,postpaid,active,Béni Mellal-Khénifra,Premium
212693243613,2024-06-23,postpaid,active,Fès-Meknès,Starter
212689770479,2024-01-25,postpaid,active,Oriental,Starter
212619638631,2023-08-18,postpaid,active,Laâyoune-Sakia El Hamra,Starter
212776290755,2024-11-28,postpaid,active,Oriental,Infinity
212706098015,2024-06-19,postpaid,active,Drâa-Tafilalet,Premium
212660039537,2025-03-31,postpaid,active,Fès-Meknès,Premium
212795727804,2023-09-05,postpaid,active,Béni Mellal-Khénifra,Infinity
212733493002,2025-06-08,postpaid,active,Dakhla-Oued Ed-Dahab,Infinity
212753650719,2024-06-07,postpaid,active,Tanger-Tétouan-Al Hoceïma,Starter
212769693667,2024-10-02,postpaid,active,Marrakech-Safi,Premium
212719492373,2023-08-23,postpaid,active,Laâyoune-Sakia El Hamra,Infinity
212765687389,2023-10-22,postpaid,active,Oriental,Premium
212772732876,2024-03-20,postpaid,active,Béni Mellal-Khénifra,Infinity
212636867768,2024-12-18,postpaid,active,Marrakech-Safi,Starter
212745349358,2024-04-09,postpaid,active,Tanger-Tétouan-Al Hoceïma,Infinity
212726463130,2023-08-12,postpaid,active,Guelmim-Oued Noun,Premium
212796445578,2025-04-11,postpaid,active,Dakhla-Oued Ed-Dahab,Premium
212702120454,2024-09-24,postpaid,active,Dakhla-Oued Ed-Dahab,Premium
212789132896,2024-10-16,postpaid,active,Béni Mellal-Khénifra,Starter
212601027729,2023-09-01,postpaid,active,Casablanca-Settat,Starter
212601610946,2025-02-19,postpaid,active,Dakhla-Oued Ed-Dahab,Infinity
212777495121,2024-05-08,postpaid,active,Drâa-Tafilalet,Starter
212608791209,2023-07-27,postpaid,active,Laâyoune-Sakia El Hamra,Premium
212754324048,2023-10-18,postpaid,active,Guelmim-Oued Noun,Infinity
212670293740,2024-05-12,postpaid,active,Tanger-Tétouan-Al Hoceïma,Infinity
212778231633,2024-01-08,postpaid,active,Laâyoune-Sakia El Hamra,Premium
212742887880,2024-11-23,postpaid,active,Rabat-Salé-Kénitra,Premium
212602717882,2024-07-17,postpaid,active,Marrakech-Safi,Starter
212692969259,2024-03-27,postpaid,active,Marrakech-Safi,Infinity
212765091415,2024-01-13,postpaid,active,Souss-Massa,Infinity
212669913481,2024-11-06,postpaid,active,Dakhla-Oued Ed-Dahab,Starter
212758013191,2023-11-18,postpaid,active,Béni Mellal-Khénifra,Infinity
212760113295,2025-06-06,postpaid,active,Guelmim-Oued Noun,Premium
212686851679,2024-07-15,postpaid,active,Béni Mellal-Khénifra,Infinity
212650502816,2023-12-10,postpaid,active,Drâa-Tafilalet,Premium
212774232085,2024-09-08,postpaid,active,Casablanca-Settat,Infinity
212729403502,2024-04-11,postpaid,active,Tanger-Tétouan-Al Hoceïma,Infinity
212797865523,2023-09-16,postpaid,active,Tanger-Tétouan-Al Hoceïma,Infinity
212777211148,2025-04-09,postpaid,active,Fès-Meknès,Starter
212749316524,2024-11-05,postpaid,active,Tanger-Tétouan-Al Hoceïma,Premium
212711616165,2023-07-05,postpaid,active,Marrakech-Safi,Infinity
212770711954,2023-11-05,postpaid,active,Oriental,Premium
212706817128,2025-05-04,postpaid,active,Guelmim-Oued Noun,Premium
212706368937,2023-06-10,postpaid,active,Oriental,Starter
212636847868,2023-11-25,postpaid,active,Tanger-Tétouan-Al Hoceïma,Infinity
212661777961,2023-11-11,postpaid,active,Laâyoune-Sakia El Hamra,Premium
212619920817,2024-09-15,postpaid,active,Oriental,Infinity
212610292937,2024-07-19,postpaid,active,Guelmim-Oued Noun,Infinity
212639020961,2024-07-04,postpaid,active,Marrakech-Safi,Premium
212737846937,2024-11-10,postpaid,active,Fès-Meknès,Starter
212614150398,2024-12-23,postpaid,active,Tanger-Tétouan-Al Hoceïma,Starter
